Method,Latency
logos,1,13.755081
logos,2,0.0012025555555555555
logos,3,13.985908222222221
logos,4,6.356857444444445
logos,5,6.344979888888889
regression,1,5.547755888888889
regression,2,0.0011376666666666666
regression,3,0.001177888888888889
regression,4,0.0011435555555555554
regression,5,0.0012048888888888888
langmodel,1,19.10669766666667
langmodel,2,0.0006581111111111112
langmodel,3,0.0006395555555555555
langmodel,4,0.0006751111111111111
langmodel,5,0.0006526666666666666
