variables, Parse Time, Prep Time
10,2.531545,184.099773
20,2.599183,365.219374
30,3.078163,547.166823
40,3.735306,728.730740
50,4.228224,909.883947
60,4.676527,1095.806113
70,5.212300,1280.085128
80,5.472014,1455.640509
90,6.142651,1638.210211
100,6.606853,1824.231829
